Banco,Tipo_contrato,Taxa_tipo,Taxa%,Vencimento (dias),Valor inicial,Valor bruto,IR,Valor líquido,Rentabilidade líquida (%)
BANCO DAYCOVAL,CDB,CDI_PCT,96.0,91,200000,211090.59,2495.38,208595.2,4.3
BANCO DA CHINA BRASIL,CDB,CDI_PCT,95.33,91,200000,211011.11,2477.5,208533.61,4.27
PICPAY,CDB,PRE,10.66,181,200000,210572.38,2114.48,208457.91,4.23
PICPAY,CDB,PRE,10.66,181,200000,210572.38,2114.48,208457.91,4.23
BANCO FIBRA S.A AGENCIA MATRIZ,CDB,PRE,15.0,128,200000,210520.55,2367.12,208153.42,4.08
OURIBANK,CDB,PRE,13.6,140,200000,210432.88,2347.4,208085.48,4.04
PARANA BANCO,CDB,PRE,14.85,120,200000,209764.38,2196.99,207567.4,3.78
BANCO DAYCOVAL,CDB,PRE,14.59,120,200000,209593.42,2158.52,207434.9,3.72
PICPAY,CDB,CDI_PCT,105.0,90,200000,209598.27,2159.61,207438.66,3.72
PICPAY,CDB,CDI_PCT,105.0,90,200000,209598.27,2159.61,207438.66,3.72
STELLANTIS FINANCIAMENTOS,CDB,PRE,14.5,120,200000,209534.25,2145.21,207389.04,3.69
BANCO DAYCOVAL,CDB,PRE,14.49,120,200000,209527.67,2143.73,207383.95,3.69
PARANA BANCO,CDB,PRE,14.39,120,200000,209461.92,2128.93,207332.99,3.67
BANCO DAYCOVAL,CDB,PRE,14.35,120,200000,209435.62,2123.01,207312.6,3.66
BANCO PAN,CDB,PRE,14.37,120,200000,209448.77,2125.97,207322.79,3.66
BANCO DAYCOVAL,CDB,PRE,14.37,120,200000,209448.77,2125.97,207322.79,3.66
PARANA BANCO,CDB,PRE,14.37,120,200000,209448.77,2125.97,207322.79,3.66
PICPAY,CDB,CDI_PCT,103.0,90,200000,209411.27,2117.54,207293.73,3.65
PICPAY,CDB,CDI_PCT,103.0,90,200000,209411.27,2117.54,207293.73,3.65
PARANA BANCO,CDB,PRE,14.27,120,200000,209383.01,2111.18,207271.84,3.64
BANCO BV,CDB,PRE,14.13,121,200000,209368.38,2107.89,207260.5,3.63
BANCO GUANABARA S/A,CDB,CDI_PCT,110.0,84,200000,209303.77,2093.35,207210.42,3.61
BANCO BTG PACTUAL,CDB,CDI_PCT,101.75,90,200000,209294.47,2091.26,207203.22,3.6
BANCO BTG PACTUAL,CDB,CDI_PCT,101.75,90,200000,209294.47,2091.26,207203.22,3.6
BANCO BTG PACTUAL,CDB,CDI_PCT,101.75,90,200000,209294.47,2091.26,207203.22,3.6
BANCO DAYCOVAL,CDB,CDI_PCT,101.0,90,200000,209224.43,2075.5,207148.93,3.57
PAGBANK,CDB,CDI_PCT,101.0,90,200000,209224.43,2075.5,207148.93,3.57
BANCO OURINVEST,CDB,PRE,13.85,120,200000,209106.85,2049.04,207057.81,3.53
OURIBANK,CDB,PRE,13.85,120,200000,209106.85,2049.04,207057.81,3.53
BANCO PAN,CDB,CDI_PCT,99.25,90,200000,209061.08,2038.74,207022.33,3.51
BANCO STELLANTIS,CDB,CDI_PCT,99.16,90,200000,209052.68,2036.85,207015.83,3.51
PAGBANK,CDB,CDI_PCT,98.75,90,200000,209014.43,2028.25,206986.18,3.49
BANCO BTG PACTUAL,CDB,CDI_PCT,98.75,90,200000,209014.43,2028.25,206986.18,3.49
BANCO BTG PACTUAL,CDB,CDI_PCT,97.75,90,200000,208921.16,2007.26,206913.9,3.46
BANCO DAYCOVAL,CDB,CDI_PCT,97.5,90,200000,208897.85,2002.02,206895.83,3.45
GOLDMAN SACHS DO BRASIL,CDB,CDI_PCT,97.0,90,200000,208851.24,1991.53,206859.71,3.43
OURIBANK,CDB,CDI_PCT,97.0,90,200000,208851.24,1991.53,206859.71,3.43
PARANA BANCO,CDB,CDI_PCT,96.65,90,200000,208818.61,1984.19,206834.43,3.42
BANCO DAYCOVAL,CDB,CDI_PCT,96.5,90,200000,208804.63,1981.04,206823.59,3.41
